,Round,Label,meanA,OD,GSH,protein ug/mL,protein mg/uL,CS_activity,trt_list
1,1,D54,0.148,0.017,1.374,549.167,5.49E-04,1.112,D-control
2,1,D55,0.155,0.023,1.918,1074.556,1.07E-03,0.793,D-control
3,1,D58,0.147,0.021,1.726,1108.389,1.11E-03,0.692,D-control
4,1,D59,0.209,0.022,1.822,1226.611,1.23E-03,0.660,D-control
8,1,M45,0.333,0.074,6.846,1156.222,1.16E-03,2.632,D-control
9,1,M46,0.185,0.017,1.374,996.000,9.96E-04,0.613,D-control
11,1,M48,0.172,0.030,2.622,1081.167,1.08E-03,1.078,D-control
12,1,M49,0.166,0.019,1.566,770.833,7.71E-04,0.903,D-control
13,1,M89,0.168,0.013,0.926,1301.667,1.30E-03,0.316,D-control
14,1,M90,0.211,0.024,2.046,1662.167,1.66E-03,0.547,D-control
61,2,D56,0.078,0.109,3.369,1065.278,1.07E-03,3.163,D-control
47,1,T55,0.191,0.027,2.302,837.333,8.37E-04,1.222,T-control
48,1,T56,0.143,0.016,1.246,537.111,5.37E-04,1.031,T-control
49,1,T57,0.234,0.021,1.694,851.722,8.52E-04,0.884,T-control
50,1,T62,0.220,0.010,0.670,1401.611,1.40E-03,0.212,T-control
55,1,X45,0.204,0.021,1.758,874.667,8.75E-04,0.893,T-control
56,1,X46,0.361,0.131,12.286,717.167,7.17E-04,7.614,T-control
57,1,X47,0.383,0.011,0.734,1687.833,1.69E-03,0.193,T-control
60,2,T59,0.080,0.100,3.014,1123.889,1.12E-03,5.363,T-control
62,2,T61,0.131,0.138,4.544,1545.556,1.55E-03,2.940,T-control
64,3,T58,0.164,0.191,5.249,1514.400,1.51E-03,1.118,T-control
65,3,X48,0.248,0.102,1.956,1321.800,1.32E-03,0.477,T-control
22,1,N48,0.287,0.082,7.582,524.667,5.25E-04,6.423,D-desiccation
23,1,N49,0.133,0.021,1.758,197.222,1.97E-04,3.962,D-desiccation
24,1,N50,0.361,0.098,9.086,749.444,7.49E-04,5.388,D-desiccation
25,1,N51,0.250,0.066,6.046,617.417,6.17E-04,4.352,D-desiccation
26,1,N52,0.328,0.107,9.950,879.722,8.80E-04,5.027,D-desiccation
27,1,N53,0.390,0.133,12.478,1245.667,1.25E-03,4.452,D-desiccation
28,1,N54,0.340,0.102,9.502,1263.167,1.26E-03,3.343,D-desiccation
29,1,N55,0.329,0.079,7.262,1207.556,1.21E-03,2.673,D-desiccation
30,1,N56,0.318,0.105,9.790,338.000,3.38E-04,12.873,D-desiccation
31,1,N57,0.270,0.066,6.030,767.333,7.67E-04,3.493,D-desiccation
32,1,N58,0.304,0.096,8.926,746.722,7.47E-04,5.313,D-desiccation
33,1,N59,0.165,0.032,2.750,826.833,8.27E-04,1.478,D-desiccation
38,1,R52,0.260,0.091,8.446,877.000,8.77E-04,4.280,T-desiccation
39,1,R53,0.380,0.158,14.878,245.833,2.46E-04,26.898,T-desiccation
40,1,R54,0.303,0.096,8.926,259.833,2.60E-04,15.268,T-desiccation
41,1,R56,0.299,0.061,5.566,695.000,6.95E-04,3.559,T-desiccation
42,1,R57,0.550,0.122,11.390,1085.444,1.09E-03,4.664,T-desiccation
43,1,R58,0.223,0.037,3.230,1160.111,1.16E-03,1.237,T-desiccation
44,1,R60,0.148,0.022,1.854,86.778,8.68E-05,9.496,T-desiccation
45,1,R62,0.212,0.025,2.078,427.056,4.27E-04,2.163,T-desiccation
58,2,R59,0.079,0.123,3.943,1116.944,1.12E-03,7.060,T-desiccation
59,2,R61,0.096,0.111,3.465,1432.500,1.43E-03,4.837,T-desiccation
5,1,M41,0.172,0.011,0.798,1293.889,1.29E-03,0.274,D-heat
6,1,M42,0.371,0.092,8.510,1438.167,1.44E-03,2.630,D-heat
7,1,M43,0.493,0.051,4.606,1204.444,1.20E-03,1.700,D-heat
10,1,M47,0.159,0.015,1.150,1289.611,1.29E-03,0.396,D-heat
15,1,N41,0.249,0.007,0.382,803.889,8.04E-04,0.211,D-heat
16,1,N42,0.193,0.038,3.326,1444.778,1.44E-03,1.023,D-heat
17,1,N43,0.127,0.020,1.598,324.000,3.24E-04,2.192,D-heat
18,1,N44,0.207,0.012,0.894,1179.556,1.18E-03,0.337,D-heat
19,1,N45,0.129,0.015,1.182,645.611,6.46E-04,0.814,D-heat
20,1,N46,0.169,0.011,0.734,927.944,9.28E-04,0.352,D-heat
21,1,N47,0.187,0.027,2.334,1046.556,1.05E-03,0.991,D-heat
34,1,R46,0.154,0.012,0.830,768.500,7.69E-04,0.480,T-heat
35,1,R48,0.183,0.013,0.926,989.000,9.89E-04,0.416,T-heat
36,1,R50,0.232,0.003,0.030,1265.500,1.27E-03,0.011,T-heat
46,1,R78,0.289,0.030,2.622,1437.778,1.44E-03,0.811,T-heat
51,1,X41,0.265,0.033,2.910,982.389,9.82E-04,1.317,T-heat
52,1,X42,0.215,0.004,0.126,964.111,9.64E-04,0.058,T-heat
53,1,X43,0.243,0.010,0.702,1196.278,1.20E-03,0.261,T-heat
54,1,X44,0.181,0.013,0.926,1264.333,1.26E-03,0.326,T-heat
63,3,R42,0.181,0.066,0.642,711.000,7.11E-04,0.291,T-heat