"","Plate","Repeat","Type","Time","Label","Absorbance_all"
"7",1,1,"M","00:00:23.65","R46",0.015
"8",1,1,"M","00:00:24.54","R46",0.005
"9",1,1,"M","00:00:25.42","R46",0.015
"10",1,1,"M","00:00:26.31","M89",0.014
"11",1,1,"M","00:00:27.20","M89",0.012
"12",1,1,"M","00:00:28.09","M89",0.012
"13",1,1,"M","00:00:31.43","M41",0.00999999999999998
"14",1,1,"M","00:00:32.31","M41",0.014
"15",1,1,"M","00:00:33.20","M41",0.00999999999999998
"16",1,1,"M","00:00:34.09","D55",0.02
"17",1,1,"M","00:00:34.98","D55",0.026
"18",1,1,"M","00:00:35.87","D55",0.023
"19",1,1,"M","00:00:36.76","D56",0.003
"20",1,1,"M","00:00:37.65","D56",0.011
"21",1,1,"M","00:00:38.53","D56",-0.01
"22",1,1,"M","00:00:39.42","X42",0
"23",1,1,"M","00:00:40.31","X42",0.00699999999999998
"24",1,1,"M","00:00:41.20","X42",0.00600000000000001
"25",1,1,"M","00:00:44.54","T62",0.00600000000000001
"26",1,1,"M","00:00:45.42","T62",0.013
"27",1,1,"M","00:00:46.31","T62",0.011
"28",1,1,"M","00:00:47.20","T59",-0.02
"29",1,1,"M","00:00:48.09","T59",-0.013
"30",1,1,"M","00:00:48.98","T59",-0.024
"31",1,1,"M","00:00:49.87","D58",0.021
"32",1,1,"M","00:00:50.76","D58",0.017
"33",1,1,"M","00:00:51.65","D58",0.025
"34",1,1,"M","00:00:52.53","R50",0.002
"35",1,1,"M","00:00:53.42","R50",0.00299999999999997
"36",1,1,"M","00:00:54.31","R50",0.00499999999999998
"37",1,1,"M","00:00:57.65","R42",-0.00600000000000001
"38",1,1,"M","00:00:58.53","R42",0.005
"39",1,1,"M","00:00:59.42","R42",-0.00700000000000001
"40",1,1,"M","00:01:00.31","R48",0.014
"41",1,1,"M","00:01:01.20","R48",0.013
"42",1,1,"M","00:01:02.09","R48",0.011
"43",1,1,"M","00:01:02.98","T56",0.00999999999999998
"44",1,1,"M","00:01:03.87","T56",0.019
"45",1,1,"M","00:01:04.76","T56",0.019
"46",1,1,"M","00:01:05.65","X44",0.012
"47",1,1,"M","00:01:06.53","X44",0.015
"48",1,1,"M","00:01:07.42","X44",0.011
"49",1,1,"M","00:01:10.76","R47",0
"50",1,1,"M","00:01:11.65","R47",-0.003
"51",1,1,"M","00:01:12.53","R47",-0.00299999999999995
"52",1,1,"M","00:01:13.42","N45",0.013
"53",1,1,"M","00:01:14.31","N45",0.017
"54",1,1,"M","00:01:15.20","N45",0.016
"55",1,1,"M","00:01:16.09","N44",0.013
"56",1,1,"M","00:01:16.98","N44",0.011
"57",1,1,"M","00:01:17.87","N44",0.013
"58",1,1,"M","00:01:18.76","X43",0.01
"59",1,1,"M","00:01:19.65","X43",0.011
"60",1,1,"M","00:01:20.53","X43",0.01
"61",1,1,"M","00:01:23.87","M47",0.018
"62",1,1,"M","00:01:24.76","M47",0.014
"63",1,1,"M","00:01:25.65","M47",0.013
"64",1,1,"M","00:01:26.53","T58",-0.00900000000000001
"65",1,1,"M","00:01:27.42","T58",-0.00700000000000001
"66",1,1,"M","00:01:28.31","T58",-0.016
"67",1,1,"M","00:01:29.20","N46",0.016
"68",1,1,"M","00:01:30.09","N46",0.00600000000000001
"69",1,1,"M","00:01:30.98","N46",0.00999999999999998
"70",1,1,"M","00:01:31.87","T61",-0.013
"71",1,1,"M","00:01:32.76","T61",-0.092
"72",1,1,"M","00:01:33.65","T61",0.00700000000000001
"73",1,1,"M","00:01:36.98","D59",0.024
"74",1,1,"M","00:01:37.87","D59",0.021
"75",1,1,"M","00:01:38.76","D59",0.021
"82",2,1,"M","00:00:18.66","N42",0.04
"83",2,1,"M","00:00:19.56","N42",0.036
"84",2,1,"M","00:00:20.45","N42",0.037
"85",2,1,"M","00:00:21.34","T55",0.027
"86",2,1,"M","00:00:22.23","T55",0.028
"87",2,1,"M","00:00:23.12","T55",0.026
"88",2,1,"M","00:00:24.01","M48",0.03
"89",2,1,"M","00:00:24.90","M48",0.031
"90",2,1,"M","00:00:25.79","M48",0.03
"91",2,1,"M","00:00:26.67","X47",0.004
"92",2,1,"M","00:00:27.56","X47",-0.003
"93",2,1,"M","00:00:28.45","X47",0.031
"94",2,1,"M","00:00:31.79","N43",0.02
"95",2,1,"M","00:00:32.67","N43",0.02
"96",2,1,"M","00:00:33.56","N43",0.019
"97",2,1,"M","00:00:34.45","M90",0.023
"98",2,1,"M","00:00:35.34","M90",0.025
"99",2,1,"M","00:00:36.23","M90",0.025
"100",2,1,"M","00:00:37.12","R58",0.034
"101",2,1,"M","00:00:38.01","R58",0.036
"102",2,1,"M","00:00:38.90","R58",0.04
"103",2,1,"M","00:00:39.79","R60",0.021
"104",2,1,"M","00:00:40.67","R60",0.023
"105",2,1,"M","00:00:41.56","R60",0.023
"106",2,1,"M","00:00:44.90","R78",0.03
"107",2,1,"M","00:00:45.79","R78",0.03
"108",2,1,"M","00:00:46.67","R78",0.031
"109",2,1,"M","00:00:47.56","N49",0.022
"110",2,1,"M","00:00:48.45","N49",0.02
"111",2,1,"M","00:00:49.34","N49",0.022
"112",2,1,"M","00:00:50.23","M42",0.089
"113",2,1,"M","00:00:51.12","M42",0.094
"114",2,1,"M","00:00:52.01","M42",0.092
"115",2,1,"M","00:00:52.90","N59",0.027
"116",2,1,"M","00:00:53.79","N59",0.033
"117",2,1,"M","00:00:54.67","N59",0.035
"118",2,1,"M","00:00:58.01","N57",0.021
"119",2,1,"M","00:00:58.90","N57",0.023
"120",2,1,"M","00:00:59.79","N57",0.021
"121",2,1,"M","00:01:00.67","M49",0.021
"122",2,1,"M","00:01:01.56","M49",0.022
"123",2,1,"M","00:01:02.45","M49",0.015
"124",2,1,"M","00:01:03.34","D54",0.016
"125",2,1,"M","00:01:04.23","D54",0.017
"126",2,1,"M","00:01:05.12","D54",0.019
"127",2,1,"M","00:01:06.01","T57",0.023
"128",2,1,"M","00:01:06.90","T57",0.019
"129",2,1,"M","00:01:07.79","T57",0.02
"130",2,1,"M","00:01:11.12","X45",0.026
"131",2,1,"M","00:01:12.01","X45",0.023
"132",2,1,"M","00:01:12.90","X45",0.015
"133",2,1,"M","00:01:13.78","N41",0.00700000000000001
"134",2,1,"M","00:01:14.67","N41",0.00600000000000001
"135",2,1,"M","00:01:15.56","N41",0.00800000000000001
"136",2,1,"M","00:01:16.45","X48",0.005
"137",2,1,"M","00:01:17.34","X48",0.003
"138",2,1,"M","00:01:18.23","X48",-0.001
"139",2,1,"M","00:01:19.12","M43",0.043
"140",2,1,"M","00:01:20.01","M43",0.052
"141",2,1,"M","00:01:20.90","M43",0.0580000000000001
"142",2,1,"M","00:01:24.23","X41",0.037
"143",2,1,"M","00:01:25.12","X41",0.038
"144",2,1,"M","00:01:26.01","X41",0.025
"145",2,1,"M","00:01:26.90","M46",0.018
"146",2,1,"M","00:01:27.78","M46",0.017
"147",2,1,"M","00:01:28.67","M46",0.017
"148",2,1,"M","00:01:29.56","N47",0.022
"149",2,1,"M","00:01:30.45","N47",0.029
"150",2,1,"M","00:01:31.34","N47",0.031
"151",2,1,"M","00:01:32.23","R62",0.027
"152",2,1,"M","00:01:33.12","R62",0.024
"153",2,1,"M","00:01:34.01","R62",0.023
"155",1,1,"M","00:00:19.36","N58",0.097
"156",1,1,"M","00:00:20.26","N58",0.095
"157",1,1,"M","00:00:21.15","N58",0.096
"158",1,1,"M","00:00:22.04","R53",0.159
"159",1,1,"M","00:00:22.93","R53",0.149
"160",1,1,"M","00:00:23.82","R53",0.166
"161",1,1,"M","00:00:24.71","R56",0.059
"162",1,1,"M","00:00:25.60","R56",0.058
"163",1,1,"M","00:00:26.49","R56",0.066
"164",1,1,"M","00:00:27.37","N48",0.074
"165",1,1,"M","00:00:28.26","N48",0.086
"166",1,1,"M","00:00:29.15","N48",0.086
"167",1,1,"M","00:00:32.49","N51",0.073
"168",1,1,"M","00:00:33.37","N51",0.063
"169",1,1,"M","00:00:34.26","N51",0.062
"170",1,1,"M","00:00:35.15","N54",0.097
"171",1,1,"M","00:00:36.04","N54",0.107
"172",1,1,"M","00:00:36.93","N54",0.102
"173",1,1,"M","00:00:37.82","R51",0.08
"174",1,1,"M","00:00:38.71","R51",0.082
"175",1,1,"M","00:00:39.60","R51",0.081
"176",1,1,"M","00:00:40.49","N56",0.098
"177",1,1,"M","00:00:41.37","N56",0.109
"178",1,1,"M","00:00:42.26","N56",0.108
"179",1,1,"M","00:00:45.60","R57",0.122
"180",1,1,"M","00:00:46.49","R57",0.122
"181",1,1,"M","00:00:47.37","R57",0.121
"182",1,1,"M","00:00:48.26","N53",0.129
"183",1,1,"M","00:00:49.15","N53",0.141
"184",1,1,"M","00:00:50.04","N53",0.129
"185",1,1,"M","00:00:50.93","N57",0.111
"186",1,1,"M","00:00:51.82","N57",0.107
"187",1,1,"M","00:00:52.71","N57",0.112
"188",1,1,"M","00:00:53.60","X46",0.161
"189",1,1,"M","00:00:54.49","X46",0.131
"190",1,1,"M","00:00:55.37","X46",0.101
"191",1,1,"M","00:00:58.71","N52",0.098
"192",1,1,"M","00:00:59.60","N52",0.113
"193",1,1,"M","00:01:00.49","N52",0.109
"194",1,1,"M","00:01:01.37","R54",0.085
"195",1,1,"M","00:01:02.26","R54",0.102
"196",1,1,"M","00:01:03.15","R54",0.101
"197",1,1,"M","00:01:04.04","R59",0.102
"198",1,1,"M","00:01:04.93","R59",0.101
"199",1,1,"M","00:01:05.82","R59",0.105
"200",1,1,"M","00:01:06.71","N50",0.099
"201",1,1,"M","00:01:07.60","N50",0.097
"202",1,1,"M","00:01:08.49","N50",0.097
"206",1,1,"M","00:01:14.48","R52",0.104
"207",1,1,"M","00:01:15.37","R52",0.082
"208",1,1,"M","00:01:16.26","R52",0.087
"209",1,1,"M","00:01:17.15","N55",0.081
"210",1,1,"M","00:01:18.04","N55",0.078
"211",1,1,"M","00:01:18.93","N55",0.077
"212",1,1,"M","00:01:19.82","M45",0.075
"213",1,1,"M","00:01:20.71","M45",0.074
"214",1,1,"M","00:01:21.60","M45",0.074
