ID,Well,A,Plate
2000,A01,1.214,1
1500,A02,1.136,1
1000,A03,1.04,1
750,A04,0.997,1
500,A05,0.806,1
250,A06,0.68,1
125,A07,0.66,1
0,A08,0.64,1
R41,A09,1.139,1
R41,A10,1.151,1
R41,A11,1.185,1
R43,A12,1.025,1
R43,B01,0.95,1
R43,B02,0.982,1
M44,B03,0.922,1
M44,B04,0.921,1
M44,B05,0.917,1
2000,A01,1.353,2
1500,A02,1.336,2
1000,A03,1.243,2
750,A04,1.128,2
500,A05,1.078,2
250,A06,0.947,2
125,A07,0.812,2
0,A08,0.734,2
R46,A09,0.936,2
R46,A10,1.017,2
R46,A11,1.024,2
M89,A12,1.174,2
M89,B01,1.148,2
M89,B02,1.11,2
M41,B03,1.118,2
M41,B04,1.138,2
M41,B05,1.154,2
D55,B06,1.131,2
D55,B07,1.03,2
D55,B08,1.074,2
D56,B09,0.782,2
D56,B10,0.869,2
D56,B11,0.861,2
X42,B12,1.081,2
X42,C01,1.04,2
X42,C02,1.008,2
T62,C03,1.128,2
T62,C04,1.174,2
T62,C05,1.187,2
T59,C06,1.216,2
T59,C07,1.243,2
T59,C08,1.259,2
D58,C09,1.095,2
D58,C10,1.091,2
D58,C11,1.062,2
R50,C12,1.15,2
R50,D01,1.129,2
R50,D02,1.113,2
R42,D03,0.995,2
R42,D04,1.049,2
R42,D05,0.904,2
R48,D06,0.975,2
R48,D07,1.148,2
R48,D08,1.057,2
T56,D09,1.003,2
T56,D10,0.909,2
T56,D11,0.844,2
X44,D12,1.134,2
X44,E01,1.12,2
X44,E02,1.15,2
R47,E03,1.306,2
R47,E04,1.207,2
R47,E05,1.239,2
N45,E06,0.92,2
N45,E07,0.984,2
N45,E08,0.943,2
N44,E09,1.06,2
N44,E10,1.112,2
N44,E11,1.11,2
X43,E12,1.107,2
X43,F01,1.11,2
X43,F02,1.121,2
M47,F03,1.172,2
M47,F04,1.112,2
M47,F05,1.088,2
T58,F06,1.21,2
T58,F07,1.249,2
T58,F08,1.167,2
N46,F09,1.013,2
N46,F10,1.069,2
N46,F11,0.989,2
T61,F12,1.27,2
T61,G01,1.2,2
T61,G02,1.296,2
D59,G03,1.078,2
D59,G04,1.125,2
D59,G05,1.126,2
N42,A01,1.177,3
N42,A02,1.199,3
N42,A03,1.17,3
T55,A04,0.982,3
T55,A05,1.033,3
T55,A06,1.028,3
M48,A07,1.058,3
M48,A08,1.121,3
M48,A09,1.055,3
X47,A10,1.241,3
X47,A11,1.238,3
X47,A12,1.229,3
X47,B01,1.281,3
X47,B02,1.233,3
X47,B03,1.294,3
N43,B04,0.87,3
N43,B05,0.873,3
N43,B06,0.879,3
M90,B07,1.265,3
M90,B08,1.203,3
M90,B09,1.25,3
R58,B10,1.064,3
R58,B11,1.063,3
R58,B12,1.07,3
R60,C01,0.784,3
R60,C02,0.796,3
R60,C03,0.79,3
R78,C04,1.189,3
R78,C05,1.179,3
R78,C06,1.123,3
N49,C07,0.779,3
N49,C08,0.822,3
N49,C09,0.819,3
M42,C10,1.207,3
M42,C11,1.146,3
M42,C12,1.047,3
N59,D01,0.968,3
N59,D02,0.998,3
N59,D03,0.952,3
D57,D04,0.955,3
D57,D05,1.115,3
D57,D06,1.228,3
M49,D07,0.978,3
M49,D08,0.957,3
M49,D09,0.972,3
D54,D10,0.866,3
D54,D11,0.91,3
D54,D12,0.94,3
T57,E01,1.031,3
T57,E02,1.021,3
T57,E03,0.897,3
X45,E04,0.93,3
X45,E05,0.956,3
X45,E06,1.077,3
N41,E07,0.916,3
N41,E08,1.037,3
N41,E09,0.982,3
X48,E10,1.113,3
X48,E11,1.13,3
X48,E12,1.136,3
M43,F01,1.065,3
M43,F02,1.072,3
M43,F03,1.054,3
X41,F04,0.951,3
X41,F05,1.011,3
X41,F06,1.079,3
M46,F07,0.922,3
M46,F08,1.076,3
M46,F09,1.07,3
N47,F10,0.999,3
N47,F11,1.052,3
N47,F12,1.053,3
R62,G01,0.898,3
R62,G02,0.864,3
R62,G03,0.829,3
N58,A01,0.945,4
N58,A02,0.987,4
N58,A03,0.798,4
R53,A04,0.924,4
R53,A05,0.94,4
R53,A06,1.042,4
N48,A07,0.925,4
N48,A08,0.882,4
N48,A09,0.789,4
N51,A10,0.926,4
N51,A11,0.966,4
N51,A12,0.882,4
N54,B01,1.104,4
N54,B02,0.973,4
N54,B03,1.145,4
N51,B04,0.834,4
N51,B05,0.879,4
N51,B06,0.948,4
N56,B07,0.771,4
N56,B08,0.817,4
N56,B09,0.856,4
R57,B10,0.888,4
R57,B11,1.052,4
R57,B12,1.13,4
N53,C01,1.018,4
N53,C02,1.015,4
N53,C03,1.133,4
N57,C04,0.835,4
N57,C05,0.774,4
N57,C06,0.802,4
X46,C07,0.828,4
X46,C08,0.976,4
X46,C09,0.998,4
N52,C10,0.895,4
N52,C11,1.012,4
N52,C12,1.048,4
R56,D01,0.937,4
R56,D02,0.913,4
R56,D03,0.928,4
R54,D04,0.774,4
R54,D05,0.808,4
R54,D06,0.852,4
R59,D07,0.73,4
R59,D08,0.779,4
R59,D09,0.75,4
N50,D10,0.878,4
N50,D11,1,4
N50,D12,1.03,4
R55,E01,0.781,4
R55,E02,0.838,4
R55,E03,0.834,4
R52,E04,0.754,4
R52,E05,0.782,4
R52,E06,0.742,4
N55,E07,1.101,4
N55,E08,1.058,4
N55,E09,1.146,4
M45,E10,1.04,4
M45,E11,1.035,4
M45,E12,1.168,4
2000,A01,1.006,5
1500,A02,1.11,5
1000,A03,1.042,5
750,A04,0.868,5
500,A05,0.809,5
250,A06,0.69,5
125,A07,0.626,5
0,A08,0.547,5
N46,A09,0.639,5
N46,A10,0.706,5
N46,A11,0.766,5
N44,A12,0.66,5
N44,B01,0.879,5
N44,B02,0.807,5
M46,B03,1.091,5
M46,B04,1.195,5
M46,B05,1.163,5
T61,B06,1.117,5
T61,B07,1.196,5
T61,B08,1.084,5
N47,B09,0.996,5
N47,B10,0.941,5
N47,B11,0.972,5
R50,B12,0.987,5
R50,C01,1.029,5
R50,C02,0.836,5
N57,C03,0.807,5
N57,C04,0.821,5
N57,C05,0.787,5
R59,C06,0.946,5
R59,C07,0.989,5
R59,C08,0.979,5
X43,C09,1.197,5
X43,C10,1.089,5
X43,C11,1.084,5
D56,C12,0.958,5
D56,D01,0.917,5
D56,D02,1.009,5
N45,D03,0.824,5
N45,D04,0.837,5
N45,D05,0.812,5
M47,D06,1.002,5
M47,D07,1.007,5
M47,D08,0.949,5
N49,D09,0.914,5
N49,D10,0.875,5
N49,D11,0.926,5
D58,D12,0.801,5
D58,E01,0.764,5
D58,E02,0.845,5
T59,E03,0.999,5
T59,E04,0.938,5
T59,E05,0.975,5
R57,E06,1.124,5
R57,E07,1.091,5
R57,E08,1.03,5
N41,E09,0.926,5
N41,E10,0.972,5
N41,E11,0.846,5
R61,E12,1.131,5
R61,F01,1.093,5
R61,F02,1.098,5
2000,A01,1.222,6
2000,A02,1.041,6
2000,A03,1.232,6
1500,A04,1.152,6
1500,A05,1.186,6
1500,A06,1.17,6
1000,A07,1.002,6
1000,A08,1.074,6
1000,A09,1.059,6
750,A10,0.907,6
750,A11,0.915,6
750,A12,0.922,6
500,B01,0.878,6
500,B02,0.851,6
500,B03,0.834,6
250,B04,0.759,6
250,B05,0.77,6
250,B06,0.754,6
125,B07,0.696,6
125,B08,0.704,6
125,B09,0.703,6
0,B10,0.618,6
0,B11,0.632,6
0,B12,0.644,6
X47,C01,0.91,6
X47,C02,1.007,6
X47,C03,0.936,6
T61,C04,1.043,6
T61,C05,1.067,6
T61,C06,1.113,6
X42,C07,1.06,6
X42,C08,0.893,6
X42,C09,1.032,6
N57,C10,1.069,6
N57,C11,0.912,6
N57,C12,1.038,6
X48,D01,1.23,6
X48,D02,1.121,6
X48,D03,1.102,6
R42,D04,0.9,6
R42,D05,0.859,6
R42,D06,1.026,6
X43,D07,1.075,6
X43,D08,1.113,6
X43,D09,1.018,6
X44,D10,0.807,6
X44,D11,0.921,6
X44,D12,0.98,6
D55,E01,1.049,6
D55,E02,1.076,6
D55,E03,1.091,6
M47,E04,0.943,6
M47,E05,0.772,6
M47,E06,0.946,6
N44,E07,1.068,6
N44,E08,1.07,6
N44,E09,1.089,6
D59,E10,1.049,6
D59,E11,1.074,6
D59,E12,1.016,6
R51,F01,1.176,6
R51,F02,1.293,6
R51,F03,1.037,6
T56,F04,1.097,6
T56,F05,1.271,6
T56,F06,1.2,6
R60,F07,0.789,6
R60,F08,0.97,6
R60,F09,0.712,6
M41,F10,1.258,6
M41,F11,1.187,6
M41,F12,1.213,6
R46,G01,0.849,6
R46,G02,0.688,6
R46,G03,0.71,6
M89,G04,1.055,6
M89,G05,1.147,6
M89,G06,1.22,6
T58,G07,1.294,6
T58,G08,1.22,6
T58,G09,1.151,6
R48,G10,1.127,6
R48,G11,1.219,6
R48,G12,1.014,6
T62,H01,1.083,6
T62,H02,1.04,6
T62,H04,0.994,6