ID,combo,ploidy,trt,time,status
1,D-control,D,control,14,1
2,D-control,D,control,14,1
3,D-control,D,control,29,1
4,D-control,D,control,29,1
5,D-control,D,control,29,1
6,D-control,D,control,30,0
7,D-control,D,control,30,0
8,D-control,D,control,30,0
9,D-control,D,control,30,0
10,D-control,D,control,30,0
11,D-control,D,control,30,0
12,D-control,D,control,30,0
13,D-control,D,control,30,0
14,D-control,D,control,30,0
15,D-control,D,control,30,0
16,D-control,D,control,30,0
17,D-control,D,control,30,0
18,D-control,D,control,30,0
19,D-control,D,control,30,0
20,D-control,D,control,30,0
21,D-control,D,control,30,0
22,D-control,D,control,30,0
23,D-control,D,control,30,0
24,D-control,D,control,30,0
25,D-control,D,control,30,0
26,D-control,D,control,30,0
27,D-control,D,control,30,0
28,D-control,D,control,30,0
29,D-control,D,control,30,0
30,D-control,D,control,30,0
31,D-control,D,control,30,0
32,D-control,D,control,30,0
33,D-control,D,control,30,0
34,D-control,D,control,30,0
35,D-control,D,control,30,0
36,D-control,D,control,30,0
37,D-control,D,control,30,0
38,D-control,D,control,30,0
39,D-control,D,control,30,0
40,D-control,D,control,30,0
41,D-control,D,control,30,0
42,D-control,D,control,30,0
43,D-control,D,control,30,0
44,D-control,D,control,30,0
45,D-control,D,control,30,0
46,D-control,D,control,30,0
47,D-control,D,control,30,0
48,D-control,D,control,30,0
49,D-control,D,control,30,0
50,D-control,D,control,30,0
51,D-control,D,control,30,0
52,D-control,D,control,30,0
53,D-control,D,control,30,0
54,D-control,D,control,30,0
55,D-control,D,control,30,0
56,D-control,D,control,30,0
57,D-control,D,control,30,0
58,D-control,D,control,30,0
59,D-control,D,control,30,0
60,D-control,D,control,30,0
61,D-control,D,control,30,0
62,D-control,D,control,30,0
63,D-control,D,control,30,0
64,D-control,D,control,30,0
65,D-control,D,control,30,0
66,D-control,D,control,30,0
67,D-control,D,control,30,0
68,D-control,D,control,30,0
69,D-control,D,control,30,0
70,D-control,D,control,30,0
71,D-control,D,control,30,0
72,D-control,D,control,30,0
73,D-control,D,control,30,0
74,D-control,D,control,30,0
75,D-control,D,control,30,0
76,D-control,D,control,30,0
77,D-control,D,control,30,0
78,D-control,D,control,30,0
79,D-control,D,control,30,0
80,D-control,D,control,30,0
81,D-control,D,control,30,0
82,D-control,D,control,30,0
83,D-control,D,control,30,0
84,D-control,D,control,30,0
85,D-control,D,control,30,0
86,D-control,D,control,30,0
87,D-control,D,control,30,0
88,D-control,D,control,30,0
1,T-control,T,control,3,1
2,T-control,T,control,3,1
3,T-control,T,control,3,1
4,T-control,T,control,11,1
5,T-control,T,control,11,1
6,T-control,T,control,29,1
7,T-control,T,control,29,1
8,T-control,T,control,29,1
9,T-control,T,control,29,1
10,T-control,T,control,30,0
11,T-control,T,control,30,0
12,T-control,T,control,30,0
13,T-control,T,control,30,0
14,T-control,T,control,30,0
15,T-control,T,control,30,0
16,T-control,T,control,30,0
17,T-control,T,control,30,0
18,T-control,T,control,30,0
19,T-control,T,control,30,0
20,T-control,T,control,30,0
21,T-control,T,control,30,0
22,T-control,T,control,30,0
23,T-control,T,control,30,0
24,T-control,T,control,30,0
25,T-control,T,control,30,0
26,T-control,T,control,30,0
27,T-control,T,control,30,0
28,T-control,T,control,30,0
29,T-control,T,control,30,0
30,T-control,T,control,30,0
31,T-control,T,control,30,0
32,T-control,T,control,30,0
33,T-control,T,control,30,0
34,T-control,T,control,30,0
35,T-control,T,control,30,0
36,T-control,T,control,30,0
37,T-control,T,control,30,0
38,T-control,T,control,30,0
39,T-control,T,control,30,0
40,T-control,T,control,30,0
41,T-control,T,control,30,0
42,T-control,T,control,30,0
43,T-control,T,control,30,0
44,T-control,T,control,30,0
45,T-control,T,control,30,0
46,T-control,T,control,30,0
47,T-control,T,control,30,0
48,T-control,T,control,30,0
49,T-control,T,control,30,0
50,T-control,T,control,30,0
51,T-control,T,control,30,0
52,T-control,T,control,30,0
53,T-control,T,control,30,0
54,T-control,T,control,30,0
55,T-control,T,control,30,0
56,T-control,T,control,30,0
57,T-control,T,control,30,0
58,T-control,T,control,30,0
59,T-control,T,control,30,0
60,T-control,T,control,30,0
61,T-control,T,control,30,0
62,T-control,T,control,30,0
63,T-control,T,control,30,0
64,T-control,T,control,30,0
65,T-control,T,control,30,0
66,T-control,T,control,30,0
67,T-control,T,control,30,0
68,T-control,T,control,30,0
69,T-control,T,control,30,0
70,T-control,T,control,30,0
71,T-control,T,control,30,0
72,T-control,T,control,30,0
73,T-control,T,control,30,0
74,T-control,T,control,30,0
75,T-control,T,control,30,0
76,T-control,T,control,30,0
77,T-control,T,control,30,0
1,D-MS,D,MS,3,1
2,D-MS,D,MS,3,1
3,D-MS,D,MS,3,1
4,D-MS,D,MS,3,1
5,D-MS,D,MS,3,1
6,D-MS,D,MS,7,1
7,D-MS,D,MS,7,1
8,D-MS,D,MS,11,1
9,D-MS,D,MS,11,1
10,D-MS,D,MS,11,1
11,D-MS,D,MS,14,1
12,D-MS,D,MS,29,1
13,D-MS,D,MS,30,0
14,D-MS,D,MS,30,0
15,D-MS,D,MS,30,0
16,D-MS,D,MS,30,0
17,D-MS,D,MS,30,0
18,D-MS,D,MS,30,0
19,D-MS,D,MS,30,0
20,D-MS,D,MS,30,0
21,D-MS,D,MS,30,0
22,D-MS,D,MS,30,0
23,D-MS,D,MS,30,0
24,D-MS,D,MS,30,0
25,D-MS,D,MS,30,0
26,D-MS,D,MS,30,0
27,D-MS,D,MS,30,0
28,D-MS,D,MS,30,0
29,D-MS,D,MS,30,0
30,D-MS,D,MS,30,0
31,D-MS,D,MS,30,0
32,D-MS,D,MS,30,0
33,D-MS,D,MS,30,0
34,D-MS,D,MS,30,0
35,D-MS,D,MS,30,0
36,D-MS,D,MS,30,0
37,D-MS,D,MS,30,0
38,D-MS,D,MS,30,0
39,D-MS,D,MS,30,0
40,D-MS,D,MS,30,0
41,D-MS,D,MS,30,0
42,D-MS,D,MS,30,0
43,D-MS,D,MS,30,0
44,D-MS,D,MS,30,0
45,D-MS,D,MS,30,0
46,D-MS,D,MS,30,0
47,D-MS,D,MS,30,0
48,D-MS,D,MS,30,0
49,D-MS,D,MS,30,0
50,D-MS,D,MS,30,0
51,D-MS,D,MS,30,0
52,D-MS,D,MS,30,0
53,D-MS,D,MS,30,0
54,D-MS,D,MS,30,0
55,D-MS,D,MS,30,0
56,D-MS,D,MS,30,0
57,D-MS,D,MS,30,0
58,D-MS,D,MS,30,0
59,D-MS,D,MS,30,0
60,D-MS,D,MS,30,0
61,D-MS,D,MS,30,0
62,D-MS,D,MS,30,0
63,D-MS,D,MS,30,0
64,D-MS,D,MS,30,0
65,D-MS,D,MS,30,0
66,D-MS,D,MS,30,0
67,D-MS,D,MS,30,0
68,D-MS,D,MS,30,0
69,D-MS,D,MS,30,0
70,D-MS,D,MS,30,0
71,D-MS,D,MS,30,0
72,D-MS,D,MS,30,0
73,D-MS,D,MS,30,0
74,D-MS,D,MS,30,0
75,D-MS,D,MS,30,0
76,D-MS,D,MS,30,0
77,D-MS,D,MS,30,0
78,D-MS,D,MS,30,0
79,D-MS,D,MS,30,0
80,D-MS,D,MS,30,0
81,D-MS,D,MS,30,0
82,D-MS,D,MS,30,0
83,D-MS,D,MS,30,0
84,D-MS,D,MS,30,0
85,D-MS,D,MS,30,0
86,D-MS,D,MS,30,0
87,D-MS,D,MS,30,0
1,D-SS,D,SS,2,1
2,D-SS,D,SS,2,1
3,D-SS,D,SS,2,1
4,D-SS,D,SS,4,1
5,D-SS,D,SS,4,1
6,D-SS,D,SS,4,1
7,D-SS,D,SS,30,0
8,D-SS,D,SS,30,0
9,D-SS,D,SS,30,0
10,D-SS,D,SS,30,0
11,D-SS,D,SS,30,0
12,D-SS,D,SS,30,0
13,D-SS,D,SS,30,0
14,D-SS,D,SS,30,0
15,D-SS,D,SS,30,0
16,D-SS,D,SS,30,0
17,D-SS,D,SS,30,0
18,D-SS,D,SS,30,0
19,D-SS,D,SS,30,0
20,D-SS,D,SS,30,0
21,D-SS,D,SS,30,0
22,D-SS,D,SS,30,0
23,D-SS,D,SS,30,0
24,D-SS,D,SS,30,0
25,D-SS,D,SS,30,0
26,D-SS,D,SS,30,0
27,D-SS,D,SS,30,0
28,D-SS,D,SS,30,0
29,D-SS,D,SS,30,0
30,D-SS,D,SS,30,0
31,D-SS,D,SS,30,0
32,D-SS,D,SS,30,0
33,D-SS,D,SS,30,0
34,D-SS,D,SS,30,0
35,D-SS,D,SS,30,0
36,D-SS,D,SS,30,0
37,D-SS,D,SS,30,0
38,D-SS,D,SS,30,0
39,D-SS,D,SS,30,0
40,D-SS,D,SS,30,0
41,D-SS,D,SS,30,0
42,D-SS,D,SS,30,0
43,D-SS,D,SS,30,0
44,D-SS,D,SS,30,0
45,D-SS,D,SS,30,0
46,D-SS,D,SS,30,0
47,D-SS,D,SS,30,0
48,D-SS,D,SS,30,0
49,D-SS,D,SS,30,0
50,D-SS,D,SS,30,0
51,D-SS,D,SS,30,0
52,D-SS,D,SS,30,0
53,D-SS,D,SS,30,0
54,D-SS,D,SS,30,0
55,D-SS,D,SS,30,0
56,D-SS,D,SS,30,0
57,D-SS,D,SS,30,0
58,D-SS,D,SS,30,0
59,D-SS,D,SS,30,0
60,D-SS,D,SS,30,0
61,D-SS,D,SS,30,0
62,D-SS,D,SS,30,0
63,D-SS,D,SS,30,0
64,D-SS,D,SS,30,0
65,D-SS,D,SS,30,0
66,D-SS,D,SS,30,0
67,D-SS,D,SS,30,0
68,D-SS,D,SS,30,0
69,D-SS,D,SS,30,0
70,D-SS,D,SS,30,0
71,D-SS,D,SS,30,0
72,D-SS,D,SS,30,0
73,D-SS,D,SS,30,0
74,D-SS,D,SS,30,0
75,D-SS,D,SS,30,0
76,D-SS,D,SS,30,0
77,D-SS,D,SS,30,0
78,D-SS,D,SS,30,0
79,D-SS,D,SS,30,0
80,D-SS,D,SS,30,0
81,D-SS,D,SS,30,0
82,D-SS,D,SS,30,0
83,D-SS,D,SS,30,0
84,D-SS,D,SS,30,0
85,D-SS,D,SS,30,0
86,D-SS,D,SS,30,0
1,T-SS,T,SS,2,1
2,T-SS,T,SS,3,1
3,T-SS,T,SS,3,1
4,T-SS,T,SS,4,1
5,T-SS,T,SS,5,1
6,T-SS,T,SS,30,0
7,T-SS,T,SS,30,0
8,T-SS,T,SS,30,0
9,T-SS,T,SS,30,0
10,T-SS,T,SS,30,0
11,T-SS,T,SS,30,0
12,T-SS,T,SS,30,0
13,T-SS,T,SS,30,0
14,T-SS,T,SS,30,0
15,T-SS,T,SS,30,0
16,T-SS,T,SS,30,0
17,T-SS,T,SS,30,0
18,T-SS,T,SS,30,0
19,T-SS,T,SS,30,0
20,T-SS,T,SS,30,0
21,T-SS,T,SS,30,0
22,T-SS,T,SS,30,0
23,T-SS,T,SS,30,0
24,T-SS,T,SS,30,0
25,T-SS,T,SS,30,0
26,T-SS,T,SS,30,0
27,T-SS,T,SS,30,0
28,T-SS,T,SS,30,0
29,T-SS,T,SS,30,0
30,T-SS,T,SS,30,0
31,T-SS,T,SS,30,0
32,T-SS,T,SS,30,0
33,T-SS,T,SS,30,0
34,T-SS,T,SS,30,0
35,T-SS,T,SS,30,0
36,T-SS,T,SS,30,0
37,T-SS,T,SS,30,0
38,T-SS,T,SS,30,0
39,T-SS,T,SS,30,0
40,T-SS,T,SS,30,0
41,T-SS,T,SS,30,0
42,T-SS,T,SS,30,0
43,T-SS,T,SS,30,0
44,T-SS,T,SS,30,0
45,T-SS,T,SS,30,0
46,T-SS,T,SS,30,0
47,T-SS,T,SS,30,0
48,T-SS,T,SS,30,0
49,T-SS,T,SS,30,0
50,T-SS,T,SS,30,0
51,T-SS,T,SS,30,0
52,T-SS,T,SS,30,0
53,T-SS,T,SS,30,0
54,T-SS,T,SS,30,0
55,T-SS,T,SS,30,0
56,T-SS,T,SS,30,0
57,T-SS,T,SS,30,0
58,T-SS,T,SS,30,0
59,T-SS,T,SS,30,0
60,T-SS,T,SS,30,0
61,T-SS,T,SS,30,0
62,T-SS,T,SS,30,0
63,T-SS,T,SS,30,0
64,T-SS,T,SS,30,0
65,T-SS,T,SS,30,0
66,T-SS,T,SS,30,0
67,T-SS,T,SS,30,0
68,T-SS,T,SS,30,0
69,T-SS,T,SS,30,0
70,T-SS,T,SS,30,0
71,T-SS,T,SS,30,0
72,T-SS,T,SS,30,0
73,T-SS,T,SS,30,0
74,T-SS,T,SS,30,0
75,T-SS,T,SS,30,0
76,T-SS,T,SS,30,0
77,T-SS,T,SS,30,0
78,T-SS,T,SS,30,0
79,T-SS,T,SS,30,0
80,T-SS,T,SS,30,0
81,T-SS,T,SS,30,0
82,T-SS,T,SS,30,0
83,T-SS,T,SS,30,0
84,T-SS,T,SS,30,0
85,T-SS,T,SS,30,0
1,T-MS,T,MS,1,1
2,T-MS,T,MS,3,1
3,T-MS,T,MS,3,1
4,T-MS,T,MS,3,1
5,T-MS,T,MS,3,1
6,T-MS,T,MS,3,1
7,T-MS,T,MS,3,1
8,T-MS,T,MS,3,1
9,T-MS,T,MS,3,1
10,T-MS,T,MS,3,1
11,T-MS,T,MS,3,1
12,T-MS,T,MS,3,1
13,T-MS,T,MS,3,1
14,T-MS,T,MS,3,1
15,T-MS,T,MS,3,1
16,T-MS,T,MS,3,1
17,T-MS,T,MS,7,1
18,T-MS,T,MS,7,1
19,T-MS,T,MS,7,1
20,T-MS,T,MS,7,1
21,T-MS,T,MS,7,1
22,T-MS,T,MS,7,1
23,T-MS,T,MS,7,1
24,T-MS,T,MS,11,1
25,T-MS,T,MS,30,0
26,T-MS,T,MS,30,0
27,T-MS,T,MS,30,0
28,T-MS,T,MS,30,0
29,T-MS,T,MS,30,0
30,T-MS,T,MS,30,0
31,T-MS,T,MS,30,0
32,T-MS,T,MS,30,0
33,T-MS,T,MS,30,0
34,T-MS,T,MS,30,0
35,T-MS,T,MS,30,0
36,T-MS,T,MS,30,0
37,T-MS,T,MS,30,0
38,T-MS,T,MS,30,0
39,T-MS,T,MS,30,0
40,T-MS,T,MS,30,0
41,T-MS,T,MS,30,0
42,T-MS,T,MS,30,0
43,T-MS,T,MS,30,0
44,T-MS,T,MS,30,0
45,T-MS,T,MS,30,0
46,T-MS,T,MS,30,0
47,T-MS,T,MS,30,0
48,T-MS,T,MS,30,0
49,T-MS,T,MS,30,0
50,T-MS,T,MS,30,0
51,T-MS,T,MS,30,0
52,T-MS,T,MS,30,0
53,T-MS,T,MS,30,0
54,T-MS,T,MS,30,0
55,T-MS,T,MS,30,0
56,T-MS,T,MS,30,0
57,T-MS,T,MS,30,0
58,T-MS,T,MS,30,0
59,T-MS,T,MS,30,0
60,T-MS,T,MS,30,0
61,T-MS,T,MS,30,0
62,T-MS,T,MS,30,0
63,T-MS,T,MS,30,0
64,T-MS,T,MS,30,0
65,T-MS,T,MS,30,0
66,T-MS,T,MS,30,0
67,T-MS,T,MS,30,0
68,T-MS,T,MS,30,0
69,T-MS,T,MS,30,0
70,T-MS,T,MS,30,0
71,T-MS,T,MS,30,0
72,T-MS,T,MS,30,0
73,T-MS,T,MS,30,0
74,T-MS,T,MS,30,0
75,T-MS,T,MS,30,0
76,T-MS,T,MS,30,0
77,T-MS,T,MS,30,0
78,T-MS,T,MS,30,0
79,T-MS,T,MS,30,0
80,T-MS,T,MS,30,0